,B_0,A_0,D_0,alpha_D,alpha_Y,tau_D,tau_Y,a_A,sigma_A,x_A,MSE,MSEM,MSEB,MSEP,MSEO
MENDOTA LAKE,0.08840984659076287,0.04770645493721564,0.07597074877303998,0.008327116931101946,0.007609222660150752,0.9927165276760614,1.2026503969836448,0.026975426547665677,0.005853852565878964,0.002903622655762679,0.21618920975098985,0.2875004722516867,0.28457722905545196,,0.0764899279458309
MENDOTA LAKE,0.07987743383484425,0.0581236785983488,0.0590518062828779,0.0021966623433990356,0.004051781924550763,1.885400479636937,1.8296081252882268,0.03488552075581073,0.008332217255924635,0.005341872677559807,0.2171690350807246,0.26962565182427334,0.3044799602674125,,0.07740149315048796
MENDOTA LAKE,0.06260209976456771,0.01923262903687528,0.04349437136002662,0.008449073813498447,0.009786251535523243,1.2587739878917412,0.8881552381876857,0.046552621112316145,0.005666690295727015,0.005769003612112144,0.1598104758287204,0.16656204218161536,0.23844458464167426,,0.07442480066287162
MENDOTA LAKE,0.0862135508576739,0.03910741167433874,0.04635661123661806,0.0076698210556691,0.009361469697273512,1.8962012588056825,1.934610502191524,0.06915510019419446,0.001236624884710877,0.0077549915698594315,0.1713597269345054,0.18023837862490327,0.25776657100179806,,0.07607423117681493
MENDOTA LAKE,0.043232100253564665,0.05283103795987411,0.00040184225071442786,0.00753804026812222,0.01008490774785656,0.8716053882248526,1.2939179693856468,0.024185047973207772,0.006212413409637446,0.004353217646873045,0.15993762535285158,0.12341584175982079,0.2830809675190272,,0.07331606677970672
MENDOTA LAKE,0.08069411986088543,0.09608779152120965,0.012790795337253559,0.006180377862649971,0.010559935821185721,0.6949045880861757,1.6870687180942012,0.057929564984833204,0.008135678569995902,0.003201401501211473,0.17242976212088737,0.13831566915619856,0.30242612559426546,,0.07654749161219809
MENDOTA LAKE,0.0530454783957799,0.07395286111437988,0.04784897036296603,0.005629962869471275,0.007807420555273567,1.3696319729526039,1.2699189032915463,0.05568650284149862,0.00125892570105545,0.0066889119637188596,0.1785110756387791,0.1821751905998641,0.2752831264102944,,0.0780749099061788
MENDOTA LAKE,0.05573714130484685,0.016078354570641357,0.024362537300051557,0.005205118655387122,0.007307826716305427,1.3070903546018329,0.9838280805915786,0.09176064164248915,0.002003799433745443,0.0020219103357718778,0.156215179179831,0.11049637178451957,0.2838387801135779,,0.07431038564139561
MENDOTA LAKE,0.07226527907655664,0.03358202324258717,0.03210156980379182,0.008594416584818009,0.001400648518525051,0.7814814086094817,0.7628173010575394,0.0736436090141421,0.006683666276392865,0.007827505685270823,0.1536942932728524,0.11859859523055062,0.2670552706945622,,0.07542901389344436
MENDOTA LAKE,0.015085987895727432,0.08578341727588051,0.019078584461278348,0.004571736395741853,0.004428681642058049,1.0730002891947592,0.6059204193127183,0.09705504421424026,0.0014102766944499275,0.004534463977449102,0.16693589950521992,0.13072110017390606,0.2925223269831366,,0.0775642713586171
MENDOTA LAKE,0.022120767307824602,0.05715818571980944,0.04175838846302054,0.004484589206141817,0.010833269769616832,1.9106007796431328,0.641002268873123,0.07930869258795571,0.0021238073217710054,0.003847109300960185,0.1645853278499317,0.14718934707932682,0.2690020902686327,,0.07756454620183566
MENDOTA LAKE,0.019579056404086415,0.0049791008010984655,0.020719681388391177,0.007315366827701201,0.012337692526733267,1.6769733025083005,0.66011714084185,0.06128594596857261,0.006364085676958332,0.0024692833768389364,0.16014910033208601,0.13333469476949764,0.2752509474555188,,0.07186165877124158
MENDOTA LAKE,0.07819943576302922,0.06023212796183102,0.06752502966818705,0.006913550426926102,0.0007655766678282532,0.9434851936949256,1.3118303329207994,0.03757079903137549,0.007906239450278274,0.009622118655709971,0.21192961668406907,0.26518092085775596,0.2934761223276669,,0.07713180686678434
MENDOTA LAKE,0.018862013523005202,0.01379756232587697,0.057521891234784066,0.005747051538574219,0.0008367277250617648,1.4719725947430073,1.870837913529101,0.023026716671035494,0.003015255978111783,0.001112200728894808,0.1809099241176049,0.19000454902654249,0.2762490863907252,,0.07647613693554697
MENDOTA LAKE,0.05423828310106315,0.06841366660018666,0.003992249225372821,0.004196744076893716,0.00019210910100501705,0.9045416239690754,1.3877087275656865,0.06782082739768562,0.009453918260104496,0.005929548774216535,0.20637056188241856,0.18867350444822376,0.35386361237607034,,0.07657456882296165
MENDOTA LAKE,0.09632645660824304,0.0902021946142798,0.08059217669369605,0.007593101311072709,0.010265113220833592,1.7034428916469895,1.0253053721456278,0.0981126900841049,0.006751216362537777,0.00375290321274003,0.2276117553130799,0.3034768806286701,0.3012935793049282,,0.07806480600564138
MENDOTA LAKE,0.03600180214259568,0.06667337579710408,0.025967916317888497,0.001115535798297559,0.011595264940254646,1.9225506378531665,1.4753490819838322,0.049171650179668826,0.003123560540592825,0.0050861978893051085,0.16036671813161152,0.1153924985448402,0.28797560176635606,,0.07773205408363829
