,B_0,A_0,D_0,alpha_D,alpha_Y,tau_D,tau_Y,a_A,a_D,sigma_A,x_A,MSE,MSEM,MSEB,MSEP,MSEO
PIGEON LAKE,0.012502413238540087,0.006573581013618865,0.07607037800044915,0.005583921304330491,0.0073309940387703484,0.9823734412460617,1.658974073881067,0.017444344702848287,0.041248821759311986,0.009684046149130947,0.003430113360546834,0.3405716403549237,0.05430021709669774,0.1497011424705989,,0.8177135614974744
PIGEON LAKE,0.09343223133667523,0.08422986075153685,0.021308736038453915,0.0018744639416107978,0.0032454599285303264,1.7491343057177924,1.2342806614233512,0.07374251388279182,0.06967592512443671,0.006433548619307368,0.008087865602795306,0.31349266457995434,0.07432080713159152,0.03538905503037469,,0.8307681315778968
PIGEON LAKE,0.07309986053705715,0.03734213799988505,0.015635880355971146,0.004372131276637582,0.011083063318670408,0.968558007215974,0.7349903959573901,0.09386192290880144,0.037843021367978166,0.006906548182711294,0.0036548340258506806,0.33114504468356504,0.09416609995503049,0.04543941454314268,,0.8538296195525219
PIGEON LAKE,0.07110945230349043,0.05232483487414561,0.01765544412078251,0.0033002828963116884,0.0005100187281019434,0.9553716884730219,1.6128525474532571,0.011643730477029574,0.08731394048060159,0.009823905607637875,0.009839583086105589,0.3312118588090663,0.08746179904494551,0.045255432444779475,,0.860918344937474
PIGEON LAKE,0.004315270643159494,0.08527380955329446,0.08988335275104165,0.0017946782221062497,0.01279427227919559,1.571319582609052,0.956615995468526,0.055734648167152505,0.04861440812780677,0.007118326146756924,0.006555553195423122,0.1929082105778165,0.07245406969472638,0.15468142999020917,,0.351589132048514
PIGEON LAKE,0.05593184515289732,0.06809553880899893,0.08493238596446324,0.0036368696900549954,0.00820968731888696,1.6991627132500966,0.7461918308180727,0.05961490486469893,0.062201238781344655,0.007030965059027464,0.006803066282218849,0.34755731734111306,0.04971234988059908,0.13286263344244373,,0.8600969687002963
PIGEON LAKE,0.03550890589273548,0.06716146729164507,0.037642293610946974,0.0028395000529060836,0.01144782381937181,1.2442435322114462,1.5305804070462876,0.06495289087626119,0.05513718793058976,0.003547847003784855,0.008345481935674755,0.33746052495335754,0.042484466936474785,0.058454314902461335,,0.9114427930211365
PIGEON LAKE,0.08336423876980939,0.048423612783167896,0.09544336566947165,0.004619884252327097,0.006220294517533765,0.5396700979176603,1.6659963657590693,0.003015704740344273,0.030146284146412204,0.007933728150946517,0.005226373716041497,0.33805123515803936,0.055258133302939286,0.14478865615959088,,0.814106916011588
PIGEON LAKE,0.09229179013775418,0.028894692413501497,0.079035620502709,0.009931748489440471,0.0039013744282365647,0.8845860764307029,1.313566921879008,0.040017371529416174,0.0592653422433048,0.00886528283934538,0.003860378022881608,0.33853368078905405,0.04448980664889536,0.12435491809364989,,0.8467563176246169
PIGEON LAKE,0.09470016031338911,0.08214029956262504,0.08244991760429785,0.006266802794726759,0.0077728384936191245,1.1873246541570026,0.9124821351261886,0.007996104122495608,0.01116052839875488,0.009229282664282207,0.005816591284948504,0.34797245377142366,0.04970825058793585,0.14200981156152828,,0.8521992991648069
