,B_0,A_0,D_0,e_BD,alpha_B,alpha_D,alpha_Y,tau_B,tau_D,tau_Y,a_A,a_D,sigma_A,sigma_D,x_A,x_D,n_D,p_in,MSE,MSEM,MSEB,MSEP,MSEO
MINNIE LAKE,0.0695427625816046,0.006835607617333511,0.0240000946679939,0.7689182332764445,0.009075516924071134,0.00536451642546238,0.01025469242830423,0.831859803068686,1.7544367708145807,0.8564220996001914,0.0021720801992826874,0.09440297885936821,0.005623411304756391,0.0024358453023027773,0.008158759544907433,0.003358267426644775,0.031638859744735987,0.08245866012141584,8.513107117770263,3.2432000000000003,21.282721353310787,,1.0134
MINNIE LAKE,0.06558938288821066,0.08708581687498218,0.06889192121801102,0.7589371158978577,0.007539748233786779,0.007561748146216592,0.0032714838198475535,0.6234150830977441,1.5933385354927951,1.3434672487559065,0.0672759135166356,0.057224751452582885,0.007229086730891786,0.003425638517499619,0.0017338535354815602,0.008549069241991622,0.11017174835394854,0.14287305070809062,8.513107117770263,3.2432000000000003,21.282721353310787,,1.0134
MINNIE LAKE,0.051267981413635345,0.026206738413464378,0.0725642377531437,0.7164102046880384,0.006432226686581718,0.003020588566085641,0.006184246881874461,1.7052402620107519,1.7014552952761266,1.842940816721833,0.06692203376535218,0.019354188328353297,0.0026540389749122343,0.00555296994530421,0.003925630647873827,0.002685550203566305,0.07688581210695965,0.0619413616794422,8.513107117770263,3.2432000000000003,21.282721353310787,,1.0134
MINNIE LAKE,0.047453628314034935,0.06269491448444893,0.02485133717360104,0.6774136280337525,0.006159038203235153,0.009346187328720355,0.00421498050212901,1.662912372198953,0.5239887954410777,1.5479256301977995,0.0624169448760714,0.08950112631785676,0.001563551849974039,0.00844825032152074,0.006207812765083485,0.008937829581585541,0.010412039902750955,0.08576101607831264,8.513107117770263,3.2432000000000003,21.282721353310787,,1.0134
MINNIE LAKE,0.017334404952430126,0.019757594687539383,0.0010902770661165295,0.7286212987708076,0.007066724594226155,0.0026972848817063445,0.003965599592969951,1.5565358818216144,1.2505372847899556,1.7805625825037903,0.04829302578029348,0.09080420070697579,0.0019082804488360985,0.008153615675505795,0.005378660325574701,0.006107404664058706,0.02429723011807662,0.289893689538619,8.513107117770263,3.2432000000000003,21.282721353310787,,1.0134
MINNIE LAKE,0.025532687458134806,0.04932822651673583,0.04571144819842115,0.7772509542568561,0.0031994617943227202,0.007187554558391419,0.0015666097161335128,1.9061208496963296,1.2882144124306942,1.1728588231648645,0.0721106277866275,0.07873176131742719,0.009563287531830597,0.006522963303579551,0.0069986200429715635,0.004884854297485783,0.09354418571239428,0.04130942159208442,8.513107117770263,3.2432000000000003,21.282721353310787,,1.0134
MINNIE LAKE,0.06502447720298636,0.04471442507264572,0.03559617891189369,0.7942064110724023,0.009273924155979437,0.008887829323520974,0.01137115166970323,0.373673592774208,0.8206632725666887,0.55728858330822,0.03234942608814957,0.0464686814331967,0.004517078304855186,0.0027909942545176415,0.0010023678686065952,0.005165566850797679,0.04876104947645239,0.15655208312392216,8.513107117770263,3.2432000000000003,21.282721353310787,,1.0134
MINNIE LAKE,0.014474271112396984,0.027555721679531825,0.014825537981121094,0.7254299188286064,0.003028704100268859,0.005379352762264009,0.009436564504339544,1.6877631149442356,0.936912350988499,1.4912904421158402,0.09517752845632475,0.023954551763839944,0.001077180945030805,0.005822850423968192,0.008195460906976839,0.00775925944222056,0.0010111575600689204,0.23226786446697817,8.513107117770263,3.2432000000000003,21.282721353310787,,1.0134
MINNIE LAKE,0.027771275882592858,0.0964958663588318,0.007333257735026154,0.6926527109885264,0.00597344522080232,0.003060938220440556,0.005921675812558037,1.3886624726230126,1.9552342582335842,1.1665659123167407,0.006139357530850209,0.050119244219576704,0.009034750836250865,0.0015591349110899537,0.002695449021639786,0.005274798027295563,0.06813288833347855,0.2658145603100037,8.513107117770263,3.2432000000000003,21.282721353310787,,1.0134
MINNIE LAKE,0.008980023401848503,0.04175046047455783,0.07671198712371174,0.6603864585809105,0.008133335748321284,0.008270259204534922,0.009961402589941718,1.3309380267593018,1.3929749099890303,0.7133569089885514,0.012289974726516717,0.06353521226998282,0.004957469084213635,0.003830274945974485,0.0015444381717342878,0.006219758652618099,0.030653656490444277,0.22250251445764618,8.513107117770263,3.2432000000000003,21.282721353310787,,1.0134
