,B_0,A_0,D_0,alpha_D,alpha_Y,tau_D,tau_Y,a_A,sigma_A,x_A,MSE,MSEM,MSEB,MSEP,MSEO
MONONA LAKE,0.02604180863468223,0.03802402254495238,0.06975113765063941,0.002865376182054316,0.01201120582327601,1.2010001406092157,1.7456928691998432,0.05031494930417591,0.008541624821394353,0.0025891376557560766,0.256018253395825,,0.15880896242164272,,0.3532275443700073
MONONA LAKE,0.08887003113224191,0.042161267802800995,0.0010453630407292885,0.0039050491824877604,0.002393612823006818,1.1765342116111364,1.4012012018216349,0.009119039379005205,0.0057054797801704355,0.0032554590499194206,0.26218704154444916,,0.15977974012376012,,0.36459434296513826
MONONA LAKE,0.047441413507139235,0.03485513310063036,0.08199511132897619,0.006682342602639377,0.000981392770342716,1.3121243436129404,0.5682099322984793,0.013707875277968462,0.0011513108993050037,0.008163953343019474,0.2525436180247383,,0.15010605923939838,,0.35498117681007824
MONONA LAKE,0.03084829126364398,0.09842853558353902,0.07067020669840979,0.006787538191610924,0.011133127253404406,1.8286613470632473,0.814205394666801,0.06695935193431829,0.006953718793058977,0.006121539716700377,0.25968204420842866,,0.16685715358658829,,0.352506934830269
MONONA LAKE,0.08724474302772911,0.02910833638102179,0.08534757245529224,0.0031874146852987457,0.0061390400943811775,0.7439605970280729,1.9120986047387016,0.020709046401498316,0.007095318340017519,0.007057220541785639,0.2585127623355078,,0.1620366932750885,,0.3549888313959271
MONONA LAKE,0.07133377614572681,0.05441444362430218,0.08980212601067712,0.0028048660833992793,0.009046087452597497,0.952334202554681,1.6659058537904796,0.08073804852687282,0.002376842235429335,0.006812750400261244,0.26047083212648847,,0.16720170097562437,,0.3537399632773525
MONONA LAKE,0.09277876141201523,0.04372072128644805,0.055818592105579684,0.004863988101533471,0.008938931750387494,0.7508342243544202,0.7132001715082247,0.08439700407790202,0.005904713977601928,0.0027976500794837794,0.25703784187947065,,0.15661725944765886,,0.3574584243112825
MONONA LAKE,0.016903741825233312,0.09698897266544736,0.022973237255837345,0.008055289087626118,0.010678400315967998,0.6584800822932223,0.745654213118585,0.06484168623944933,0.006288490389137313,0.007105194407175531,0.24912001877223383,,0.1442917506823664,,0.3539482868621012
MONONA LAKE,0.09559774007475072,0.018584336830211066,0.029949977941302133,0.0034567180920087445,0.00422285803328451,0.7922431702897474,1.7116981950317172,0.02257911279412165,0.0019244309978335588,0.004998351213953523,0.24549349104585738,,0.1303124795981995,,0.3606745024935153
MONONA LAKE,0.021180387165668526,0.08802475306926097,0.028272702730248712,0.0033909422985057103,0.006801357068479382,1.6836747532225194,0.6580731895872501,0.09414732174540302,0.0023966577223776837,0.007369121633632574,0.2570261096022478,,0.16158800409160703,,0.35246421511288856
MONONA LAKE,0.04936453756980813,0.01729362129683521,0.08359708911175048,0.004976275124605712,0.011842728327067242,1.6439702583228266,1.514894586354347,0.08401584394026987,0.0035669940662988284,0.008699876132817565,0.25216489949017873,,0.14922582410517762,,0.3551039748751798
MONONA LAKE,0.0935423937411618,0.030919371264051622,0.04131366246239732,0.008162171412408378,0.002095842426487935,0.8377740756184875,0.6201919319830933,0.09748965765460184,0.00814116774803856,0.008554980419790194,0.24771613155212874,,0.13131067636977242,,0.3641215867344851
MONONA LAKE,0.06600811410462885,0.09886092588035794,0.08331006331547866,0.008263060438529726,0.012722138041511531,1.348822836719191,1.975147671040352,0.06326174517794457,0.004562694710495407,0.004622075654832222,0.26026495125628846,,0.16659202780123078,,0.3539378747113461
MONONA LAKE,0.0634784418956385,0.0018661057094778166,0.07832418139088622,0.0048113197764177995,0.002823796111432436,1.8507527727983275,1.4887383217833472,0.04952609067531097,0.00753479706045313,0.006628832808515239,0.2302177944957011,,0.08994480498571202,,0.3704907840056902
MONONA LAKE,0.08417291825609435,0.03742230764728996,0.06344157196527513,0.009467325136410189,0.009912810380232385,1.5710890373884132,1.5726464959800281,0.05252973698559501,0.0050028260121046005,0.002718368350983923,0.25342361845900313,,0.14762174348907658,,0.3592254934289297
MONONA LAKE,0.02060437033281412,0.05149659298628008,0.08207770574161974,0.008870046149167574,0.0074890776369939,1.8340087956363198,0.5214335328740904,0.05472599716158684,0.00955203867541773,0.006406953908129553,0.2554851452397352,,0.15893436532533195,,0.3520359251541384
MONONA LAKE,0.0021763704080697485,0.05794887020503914,0.03811651466944063,0.00410083086886857,0.009872901549096818,1.139587409230566,1.4329818735966307,0.0326588572739588,0.007342908595121522,0.0018058851061260378,0.25107376551297367,,0.14977471585244745,,0.35237281517349983
