,B_0,A_0,D_0,e_BD,alpha_B,alpha_D,alpha_Y,tau_B,tau_D,tau_Y,a_A,a_D,sigma_A,sigma_D,x_A,x_D,n_D,MSE,MSEM,MSEB,MSEP,MSEO
PIGEON LAKE,0.05383333584341204,0.01953409355360432,0.08893135682144049,0.6515393729393382,0.00733338727037413,0.004602839359371908,0.0007042447209050689,0.735367468709705,0.9796473409629041,1.0139671410816455,0.061294572027093486,0.09128225458242878,0.004093806898837403,0.007445089625536756,0.0040107713659774,0.00335512560223351,0.039478115603258146,1.2906268589840681,0.07737514745965188,0.16748702040736713,7.90633447724133e-05,4.917566204724481
PIGEON LAKE,0.00021522098193228756,0.017005847778831865,0.09193418298240855,0.6733361079286295,0.008854178396133278,0.0016180465523251684,0.004305516640021979,0.7828917852610104,1.1013998384878507,0.9186459970774806,0.05670590440095963,0.05495491740710877,0.007554321661987685,0.007972790652682818,0.0010626200125682652,0.005710152973252759,0.06427228304333181,1.2962764367998658,0.07821780564975961,0.16757005986890317,5.559696120861239e-05,4.939262284719592
PIGEON LAKE,0.037600614615714706,0.049593684186140914,0.030605714161171638,0.6945887050582752,0.006946178592822644,0.005268605679614346,0.00669776368921964,1.792290540349193,1.7176010441570464,0.809222623538103,0.050903328719324674,0.033275620353606865,0.006765970395121395,0.00706941649167476,0.005857274905674266,0.004186996910542547,0.05409224050281501,1.2904105960936625,0.07603689679675507,0.16750757899334978,2.8914524530370176e-05,4.918068994060015
PIGEON LAKE,0.08839486819934392,0.013689362978178167,0.0033929816745104646,0.7114874950068821,0.0034839962554277415,0.007625305002575819,0.012292257600476727,1.7197027575614858,1.0053907000629476,0.8821591465769248,0.072892492536147,0.008204625530749285,0.007496964959814852,0.0069989264366698434,0.0023199930009020417,0.0079134529774377,0.01661912021870586,1.124859397536148,0.07724472421209563,0.23274806053725547,3.0598809960965615e-05,4.18941420658528
PIGEON LAKE,0.028693848113938665,0.08895061851939193,0.07830323964736255,0.6771508137346283,0.003666429870416452,0.0022938532872417653,0.010335804596377781,1.7077391701349964,1.1326803683839555,0.681642557429596,0.09084780029501015,0.039960927478069806,0.0025832509694670076,0.006052350872574882,0.006177729616800883,0.0023714279382648666,0.002501801250165747,1.283086058674184,0.07755532339690258,0.16757103596613251,0.0008330056887893285,4.886384869644911
PIGEON LAKE,0.018895307173364673,0.05931812507949154,0.05670606707578055,0.6643698798367638,0.005842009194432588,0.005518325837388878,0.008751752146234545,0.17417768586124482,1.6405129334240365,0.6501018148070723,0.03326307296827284,0.09720365900673679,0.006121135739478008,0.0040520300521975396,0.009813703864750046,0.0012322802190342062,0.13619615059711998,1.1951676062130485,0.02896921197992366,0.11331190717946305,3.058241900218389e-05,4.6383587232738055
PIGEON LAKE,0.06518995409902141,0.05877239271215659,0.09279060943115186,0.654680049196896,0.005424682283287218,0.007086276249059707,0.003597445391321959,0.8260029802677753,1.5988776446597106,1.706102263006051,0.05133003484678168,0.05337687453853417,0.007443662471419245,0.002776692860382336,0.0029176378365108574,0.0015815895402484697,0.11546502030606835,1.1801791075484551,0.023135358452973407,0.10829963829170243,2.314635856426164e-05,4.589258287090581
PIGEON LAKE,0.0018972332970583553,0.09588284896105187,0.011370353250842222,0.6903729303841221,0.0056725023708267125,0.003772634849433281,0.0021052765137255193,0.6040843590134071,1.8663768111189871,1.6782663421201238,0.08796252199465482,0.009503923117243906,0.004603787095229958,0.009960616950650404,0.0017986670037315887,0.005626087314973488,0.12596567073022927,1.2589818450588575,0.05627528375322966,0.14351797016195503,3.059059826475115e-05,4.83610353572198
PIGEON LAKE,0.05938082774858357,0.03951759667241924,0.027332286372874527,0.7593287393585669,0.0032854670977930903,0.009785946764211118,0.011423440887014715,1.3970176157235121,0.6050717148083629,0.7720385702341832,0.02077558661628279,0.08935584609112251,0.00102004863156802,0.0017820969810629036,0.004308774329617513,0.009007540774058742,0.14586108783358154,1.1017133443312286,0.05271326996954044,0.1875803386702613,3.059738535067079e-05,4.166529171299762
PIGEON LAKE,0.03165018915868674,0.025925695017275555,0.02912132446436922,0.6989762354314693,0.006673824664563159,0.005635175090015383,0.007004220262803718,0.7292749676697162,1.924089224980688,0.900106449165891,0.0064915291300980185,0.027865490600206363,0.0076084898206728434,0.00673566119803173,0.009265450716368556,0.004579762137985843,0.05520615292547454,1.289202038517874,0.07390379655700519,0.16714044363003103,2.475220538288803e-05,4.915739161679077
