,B_0,A_0,D_0,alpha_D,alpha_Y,tau_D,tau_Y,a_A,a_D,sigma_A,sigma_D,x_A,x_D,n_D,MSE,MSEM,MSEB,MSEP,MSEO
PIGEON LAKE,0.060511487865672876,0.03229232387710507,0.09753193189704489,0.001516614485214539,0.00020922962898691898,0.7102056837321302,0.8696501546346886,0.012846462838005557,0.028321328798685128,0.006452254830794418,0.005269321311471455,0.0018485372537436731,0.007374568749176409,0.18663046216203616,3.1846910312651047,0.37916139474749716,0.09320587396942681,,9.081705825078389
PIGEON LAKE,0.06834435999523433,0.06712581416981717,0.054721622689929444,0.004404496683441644,0.010106399141183775,1.5414651963229131,1.7801169936747037,0.09149209877457878,0.0034967518074033033,0.0021124173881198255,0.009276963845578282,0.006149031080332466,0.007819580572211368,0.0757176207347085,3.2949813185979218,0.25205463002707273,0.07383915327548969,,9.559050172491203
PIGEON LAKE,0.05603476673039755,0.05462557988523864,0.03456300939669146,0.003085146621190584,0.0101487995590188,1.9442705154184634,1.0784849226380966,0.02716143726459398,0.005511554886473452,0.005308735862626373,0.00828333460704734,0.007107218848458569,0.0074387366985165,0.1954662398645167,3.260239151984164,0.07343603670672656,0.07681703641682064,,9.630464382828944
PIGEON LAKE,0.03921423699071614,0.06206695459232589,0.029951886234393828,0.005538489475219728,0.002994349384656967,1.0227524899069955,1.170602574023157,0.06394463639135753,0.05462044939269776,0.005971444314732205,0.003311320802169913,0.007436465898850807,0.002498619771648507,0.24699354527115885,3.2961191593398294,0.057759627168276866,0.07900457742823006,,9.751593273422982
PIGEON LAKE,0.04518241790348531,0.05699778403244741,0.011077199118685564,0.0032749158399508556,0.0031850286388436983,0.6327462576353984,1.0428618872756443,0.022126153964102377,0.08220255250500993,0.008959211388525123,0.00433914075746652,0.0036555655983683015,0.009824696400463497,0.023262167286674143,3.3502212469863966,0.11060041108471735,0.08034129177841651,,9.859722038096056
PIGEON LAKE,0.05508785645072575,0.043218187483978016,0.014480501950177652,0.008295726491929412,0.008382864334530707,0.894957690445594,1.5836311447645472,0.04120659500771905,0.06928771847443572,0.004396977140985335,0.006407637183783112,0.0062724806335653135,0.0012073404960356625,0.07945464420112641,3.261347351552723,0.10477798278341886,0.07456727944884754,,9.604696792425903
PIGEON LAKE,0.0722641828062841,0.08305204538677846,0.06343314415660821,0.007773583902706318,0.009716042258008295,1.0785571000066834,1.5560059303029448,0.07688444546128147,0.0939838033619303,0.009558326778023988,0.0069897482555142925,0.0044884439642406855,0.009876419383475391,0.1921779339265774,3.285998706852864,0.07301451135502146,0.07636401003315767,,9.708617599170413
PIGEON LAKE,0.0022157658692692345,0.07406770807337737,0.05823532422851018,0.0066050310834771635,0.0005751619185018157,1.6454478066770997,1.2015704341188687,0.012021965564924346,0.04856650061510676,0.004904385006395182,0.004428659912953189,0.001515650239837055,0.0014719306036079282,0.1895495646123917,3.7411217809628297,0.039548505925089204,0.140691834766808,,11.043125002196591
PIGEON LAKE,0.03697117274974954,0.06613596316068995,0.05244687468636398,0.0027516479600609494,0.011077429404479634,1.7287877743582567,0.7940016461880011,0.057277855353971015,0.03845093352471389,0.004687900313235518,0.0025695307612242564,0.005031362348652092,0.00977674740785641,0.11736977696112105,3.295450971582522,0.14943738775854853,0.07339774450023645,,9.663517782488782
PIGEON LAKE,0.04383383479271045,0.022847601107782056,0.046527610645072,0.005418742346180432,0.004201776760368189,0.9596299424481894,0.8854742140816994,0.010410454501426705,0.02024838018805587,0.008352932244694267,0.006368857802994567,0.0062078042751437,0.005832953690123493,0.243657682670395,3.1803848709209164,0.190677200171513,0.07584291662985532,,9.274634495961381
PIGEON LAKE,0.06879135878198188,0.06740655527319339,0.036214797847699653,0.00920237931266471,0.0006455534821082571,0.8889893083361889,1.772796935810618,0.07115785376548514,0.08799467355256194,0.00329497859597694,0.008699258831312688,0.00458234934830437,0.008669505401477396,0.09992925084344871,3.2609486492177733,0.12365246137739064,0.07346476928377961,,9.585728716992149
PIGEON LAKE,0.0251234678341508,0.0772681327525222,0.0017460793883074602,0.0027951273428322805,0.004475474002417523,1.3774648401948422,0.6094286939344462,0.0405639147537248,0.06658814469051301,0.009772767795499786,0.004044741804229603,0.007057523985625041,0.007231851033567459,0.21077398811125975,3.3761996631542828,0.024604204525329573,0.08934941234203203,,10.014645372595487
PIGEON LAKE,0.06791267544931051,0.011921601159883569,0.040449821770677206,0.00953256624888766,0.006125147183107334,1.395090641739186,1.6123115935314205,0.015173643411942987,0.03410080809206362,0.005779192014618123,0.008175462631672568,0.00998544103936685,0.006101896513056369,0.2139986966341707,3.183394089038083,0.1362355459034886,0.0741843039173868,,9.339762417293374
PIGEON LAKE,0.06166786161760467,0.06087831928210417,0.08683486369859944,0.006855015794741763,0.0018418298006918467,1.3389414787006033,1.033047903399708,0.08108999351483322,0.0721995134431905,0.007186437226512425,0.008320487688741293,0.0055441611363715865,0.008429665496233977,0.1351284670199734,3.2537620556360096,0.2794241075870014,0.07997817288129018,,9.401883886439737
PIGEON LAKE,0.0005100171705704204,0.06253117388436527,0.03855352146371943,0.007401386128562539,0.004306632311680418,1.8585659153316016,1.7170117094313997,0.05313353073728829,0.030908051550227914,0.0029605170603120264,0.0024414570441890562,0.009889792092335254,0.002247806469877374,0.09522764414765267,3.8188014394329137,0.06528933752047714,0.15945688592885918,,11.231658094849404
